SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,Tanimoto_Similarity
O=C(NC=1N=C(N=C2SC=CC12)C=3C=CC=CN3)C4=CN(N=N4)C=5C=CC=CC5,Z4970360209,399.431,399.431,3.215,-5.568,1,6,98.48,4,https://real.enamine.net/public-enum-files/Z4970360209,0.2597402597402597
O=C(NCCC1=CSC(=N1)C=2C=CC=CC2)C=3C=C(F)C=CC3F,Z1376328586,344.38,344.38,3.548,-5.479,1,2,41.99,5,https://real.enamine.net/public-enum-files/Z1376328586,0.2597402597402597
CN1N=C2C=CC=CC2=C1S(=O)(=O)N[C@H]3C[C@H]4CNC[C@@H](C3)C4,Z5058222858,334.438,334.438,1.498,-2.666,2,4,76.02,2,https://real.enamine.net/public-enum-files/Z5058222858,0.2597402597402597
COC=1C=CC(=CC1)C(=O)N2CCCN(CC2)C(=O)C=3C=NN(C3N)C=4C=CC=CC4,Z5094699622,419.477,419.477,1.424,-4.848,1,5,93.69,4,https://real.enamine.net/public-enum-files/Z5094699622,0.25925925925925924
O=C(NC1=NC=2C=CC=CC2N1CCC=3C=CC=CN3)C=4C=C(CN5C=CC=N5)ON4,Z2222656451,413.433,413.433,1.915,-3.582,1,5,103.66,7,https://real.enamine.net/public-enum-files/Z2222656451,0.25925925925925924
O=C(C=1C=CC=CN1)N2CCN(CC2)C(=O)C=3C=4C=CC=CC4N=C5C(=CC6=CC=CO6)CCCC35,Z357611478,478.543,478.543,3.651,-6.893,0,4,79.54,3,https://real.enamine.net/public-enum-files/Z357611478,0.25925925925925924
CC(=O)NCC1CCN(CC1)C(=O)C2=CN=C(CC=3C=CC=CC3)S2,Z1389794555,357.472,357.472,0.813,-3.055,1,3,62.3,5,https://real.enamine.net/public-enum-files/Z1389794555,0.25925925925925924
O=C(NCC=1C=CC=C(C1)C=2C=CN=CC2)C3=CC(=O)NC=4C=C(F)C=CC34,Z6678254739,373.381,373.381,2.685,-6.007,2,3,71.09,4,https://real.enamine.net/public-enum-files/Z6678254739,0.25925925925925924
COC=1C=CC(=CC1)N2C=C(C=N2)CNC=3C=CC=C(C3)N4C=CC=N4,Z4131950825,345.399,345.399,3.815,-3.233,1,4,56.9,6,https://real.enamine.net/public-enum-files/Z4131950825,0.25925925925925924
CN1CCNCC1C(=O)NCC2=NC=3C=C(F)C=CC3N2,Z3103536524,291.325,291.325,0.457,-1.516,3,4,73.05,3,https://real.enamine.net/public-enum-files/Z3103536524,0.25925925925925924
O=C(NCC1COC=2C=CC=CC2O1)C3=CC(=O)NC4=CC(F)=CC=C34,Z1245860584,354.333,354.333,2.245,-5.652,2,4,76.66,3,https://real.enamine.net/public-enum-files/Z1245860584,0.25925925925925924
CC(C)(C)C1(CNC(=O)C2=CN=CC=3C=CC=CC23)CCNC1,Z3699528292,311.422,311.422,3.337,-3.491,2,3,54.02,4,https://real.enamine.net/public-enum-files/Z3699528292,0.25925925925925924
CN1C=C(NC(=O)C=2C=C(C3=CC=CO3)N(N2)C=4C=CC(Cl)=CC4)C(=N1)C=5C=CC=CN5,Z1428053972,444.874,444.874,3.437,-4.811,1,4,90.77,5,https://real.enamine.net/public-enum-files/Z1428053972,0.25925925925925924
O=C(NCCN1C(=O)COC=2C=CC=CC21)C3=NNC=4C=CC(F)=CC34,Z5267705434,354.336,354.336,2.726,-5.125,2,4,87.32,4,https://real.enamine.net/public-enum-files/Z5267705434,0.25882352941176473
"O=C(NC=1C=CC=2NC(CC=3C=CC=CC3F)=NC2C1)[C@H]4N[C@H]5CC[C@@H]4C5 |&1:20,22,25,r|",Z6087022957,364.417,364.417,3.832,-4.671,3,3,69.81,4,https://real.enamine.net/public-enum-files/Z6087022957,0.25882352941176473
CC1(NC(=O)NC1=O)C=2C=CC(=CC2)NC(=O)C=3C=C(N=C4C=C(F)C=CC34)C=5C=CC=CC5,Z806221336,454.454,454.454,4.486,-6.706,3,4,100.19,4,https://real.enamine.net/public-enum-files/Z806221336,0.25882352941176473
O=C(NC(C1=NC=CS1)C=2C=CC=CC2)C3=CC(=O)NC4=CC=C(Br)C=C34,Z1239278076,440.315,440.315,2.706,-6.183,2,3,71.09,4,https://real.enamine.net/public-enum-files/Z1239278076,0.25882352941176473
CC(C)(C1=NOC(=N1)C2=NNC(=O)C=3C=CC=CC23)C=4C=CC(=CC4)OC(F)(F)F,Z1891422445,416.354,416.354,3.713,-6.417,1,5,89.61,5,https://real.enamine.net/public-enum-files/Z1891422445,0.25882352941176473
O=C(NC=1C=CC=2NC(CC=3C=CC=CC3F)=NC2C1)[C@H]4N[C@@H]5CC[C@H]4C5,Z6087022960,364.417,364.417,3.832,-4.474,3,3,69.81,4,https://real.enamine.net/public-enum-files/Z6087022960,0.25882352941176473
O=C(NCC(N1CCNCC1)C(F)(F)F)C2=CC3=CC=CC=C3NC2=O,Z2441182080,368.354,368.354,1.028,-3.783,3,4,73.47,5,https://real.enamine.net/public-enum-files/Z2441182080,0.25882352941176473
CC=1N=C(OC1C(=O)NS(=O)(=O)C=2C=CC=C(C)C2F)C=3C=NN(C)C3,Z5428054841,378.38,378.38,1.771,-3.224,1,5,107.09,3,https://real.enamine.net/public-enum-files/Z5428054841,0.25882352941176473
CC=1N=C(C=2C=CC=C(C2)S(=O)(=O)NC3CC3)N(N1)C4CCN(CC4)C(=O)OC(C)(C)C,Z6190511325,461.58,461.58,2.733,-4.012,1,5,106.42,6,https://real.enamine.net/public-enum-files/Z6190511325,0.25842696629213485
CC=1C=CC=C2NC=C(CCNC(=O)N3CCC=4N=CN=CC4C3)C12,Z2853502082,335.404,335.404,1.613,-4.06,2,3,73.91,3,https://real.enamine.net/public-enum-files/Z2853502082,0.25842696629213485
O=C(NC=1C=CC=2NC(CCN3CCOCC3)=NC2C1)C4=CC(=O)NC=5C=CC(F)=CC45,Z1240075674,435.452,435.452,1.783,-4.506,3,5,99.35,5,https://real.enamine.net/public-enum-files/Z1240075674,0.25842696629213485
CC(NC(=O)C=1C=C(N=C2C=CC=CC12)C3=CC=CS3)C4=NN=C5CCCN45,Z1190967314,389.476,389.476,3.056,-4.556,1,4,72.7,4,https://real.enamine.net/public-enum-files/Z1190967314,0.25842696629213485
COC=1C=CC=2CCC(C(=O)NC=3C=CC(=CN3)N4CCC(C4)N(C)C)C2C1,Z1870229017,380.484,380.484,2.808,-3.787,1,5,57.7,5,https://real.enamine.net/public-enum-files/Z1870229017,0.25842696629213485
COC=1C=CC(=CC1)NC2=NC(=CS2)C(=O)NCC3=CC=4CN(C)CCC4NC3=O,Z4493169192,425.506,425.506,1.922,-3.919,3,6,95.59,6,https://real.enamine.net/public-enum-files/Z4493169192,0.25806451612903225
CC(C)N1C(=O)NC=2C=CC(=CC21)C(=O)NC3=NC(=CS3)C4=CNC=5N=CC=CC45,Z8424106337,418.474,418.474,3.622,-6.385,3,4,103.01,4,https://real.enamine.net/public-enum-files/Z8424106337,0.25806451612903225
COC=1C=CC(=CC1OC)C(=O)N2CCC(CC2)NC3=NC4=C(C=NN4C=5C=CC=CC5)C(=O)N3,Z5634504538,474.513,474.513,1.737,-6.167,2,7,110.08,6,https://real.enamine.net/public-enum-files/Z5634504538,0.25806451612903225
O=C(C=1C=CC=2N=CNC2N1)N3CCOC(C3)C=4C=CC=C(C4)OC(F)(F)F,Z2177494805,392.333,392.333,2.242,-5.549,1,5,80.34,4,https://real.enamine.net/public-enum-files/Z2177494805,0.25806451612903225
CCC=1C=CC=CC1C(=O)NC=2C=CC=3N=CC=CC3C2,Z1460764784,276.333,276.333,3.846,-5.191,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z1460764784,0.25757575757575757
CCN(CC)C(=O)CNC(=O)C1=CSC(=N1)C=2C=CC=CN2,Z952960320,318.396,318.396,1.841,-2.902,1,4,75.19,6,https://real.enamine.net/public-enum-files/Z952960320,0.2571428571428571
