Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Cyclophosphamide","1512","Hey","1479988","OV","urogenital_system","ovary","6.1801462684444939",".97775100621514255","10",".051342651271434774","1.0362484578461668","GDSC2"
"Cyclophosphamide","1512","JHOS-2","1479995","OV","urogenital_system","ovary","4.7366425428500039",".96354860051895341","10",".06141737123880818","-.58801677410663278","GDSC2"
"Cyclophosphamide","1512","JHOS-3","1480358","OV","urogenital_system","ovary","6.3504763806019664",".97803903786487101","10",".035832993990247967","1.2279080110752822","GDSC2"
"Cyclophosphamide","1512","JHOS-4","1480359","OV","urogenital_system","ovary","3.8951567087894188",".94792355954712226","10",".031189274311125059","-1.53487694440686","GDSC2"
"Cyclophosphamide","1512","OV-7","1480360","OV","urogenital_system","ovary","4.9714416677068076",".97692806622970074","10",".022339601310405337","-.32381513178611465","GDSC2"
"Cyclophosphamide","1512","OV-17R","1480361","OV","urogenital_system","ovary","5.4228052471573092",".97942579490527082","10",".045471998891847269",".18407006176908874","GDSC2"
"Cyclophosphamide","1512","OV-56","1480362","OV","urogenital_system","ovary","4.6236135124738249",".96006398920083091","10",".051750719386210356","-.7151997671160587","GDSC2"
"Cyclophosphamide","1512","OVCA420","1480364","OV","urogenital_system","ovary","5.9089183152677469",".9746246863874275","10",".046660174821338746",".7310562186662658","GDSC2"
"Cyclophosphamide","1512","OVCA433","1480367","OV","urogenital_system","ovary","5.4940676447855301",".97023480704172171","10",".092804677114224021",".2642562315453012","GDSC2"
"Cyclophosphamide","1512","OVK-18","1480371","OV","urogenital_system","ovary","4.8397892346447717",".96550564110617954","10",".11387429746771856","-.47195362698576598","GDSC2"
"Cyclophosphamide","1512","PEO1","1480372","OV","urogenital_system","ovary","6.2477140338081663",".97267041670764431","10",".031514560328925738","1.1122773382259243","GDSC2"
"Cyclophosphamide","1512","UWB1.289","1480374","OV","urogenital_system","ovary","5.9872085244023996",".98017599754763918","10",".035586466586461099",".81915025157037813","GDSC2"
"Pevonedistat","1529","OVCAR-3","905933","OV","urogenital_system","ovary","2.1900037047066063",".86368886003928502","10",".10001128614478008",".61392475206340225","GDSC2"
"Pevonedistat","1529","SK-OV-3","905959","OV","urogenital_system","ovary","4.7216400445697806",".93037746189605119","10",".078841577000501373","1.7926872378948695","GDSC2"
"Pevonedistat","1529","IGROV-1","905968","OV","urogenital_system","ovary",".09319949687780324",".63850581015650543","10",".081803994189710821","-.36237429271004407","GDSC2"
"Pevonedistat","1529","OVCAR-5","905969","OV","urogenital_system","ovary","5.5630165719691496",".94530572656025869","10",".048786903817171115","2.1844429854881948","GDSC2"
"Pevonedistat","1529","OVCAR-4","905990","OV","urogenital_system","ovary","3.4500337536390004",".92147564132542303","10",".096855123704398999","1.200610971294308","GDSC2"
"Pevonedistat","1529","OVCAR-8","905991","OV","urogenital_system","ovary","-.94867929059125189",".52710420602259056","10",".043841625658188103","-.84748647494332419","GDSC2"
"Pevonedistat","1529","Caov-3","906825","OV","urogenital_system","ovary","-1.8551764223470784",".41551453484105771","10",".12906602296623199","-1.2695632146402049","GDSC2"
"Pevonedistat","1529","OC-314","909257","OV","urogenital_system","ovary","-1.4904099522973195",".45515926524034278","10",".11195780290327051","-1.0997232482068502","GDSC2"
"Pevonedistat","1529","SW626","909753","OV","urogenital_system","ovary","2.1980007175441814",".8009226689777359","10",".054050371189071536",".61764826423741204","GDSC2"
"Pevonedistat","1529","OAW-42","910548","OV","urogenital_system","ovary","1.1222889437269621",".7492077530032113","10",".11221451872642706",".11678300781140651","GDSC2"
"Pevonedistat","1529","EFO-21","911905","OV","urogenital_system","ovary","4.0308209859868525",".86923037026739536","10",".04502235185437501","1.4710329868743708","GDSC2"
"Pevonedistat","1529","OAW-28","946360","OV","urogenital_system","ovary","1.6771222921427691",".81244827839031353","10",".090263477639736758",".3751205607619067","GDSC2"
"Pevonedistat","1529","Caov-4","949090","OV","urogenital_system","ovary","-.0032209777939714683",".62854291804187512","10",".10457617084078573","-.40726890755638251","GDSC2"
"Pevonedistat","1529","FU-OV-1","1240129","OV","urogenital_system","ovary","3.7921615626728191",".90959691906017903","10",".061782217697751315","1.3599100855859658","GDSC2"
"Pevonedistat","1529","OV-90","1240197","OV","urogenital_system","ovary",".96097829761510767",".70721053065580297","10",".2222090853144639",".041674693395218919","GDSC2"
"Pevonedistat","1529","OVISE","1240198","OV","urogenital_system","ovary","2.2539875857932405",".84454387262353436","10",".096563314103925518",".64371647117219899","GDSC2"
"Pevonedistat","1529","OVKATE","1240199","OV","urogenital_system","ovary","8.3555680176279896",".97506472935901645","10",".035437457882911715","3.4846909050116519","GDSC2"
"Pevonedistat","1529","OVMIU","1240200","OV","urogenital_system","ovary","4.8286330960418233",".93107472029994998","10",".079017083178139838","1.8425045806680009","GDSC2"
"Pevonedistat","1529","TOV-21G","1240222","OV","urogenital_system","ovary","-1.5854445465438178",".45059210970066865","10",".11258419561992433","-1.1439725792778528","GDSC2"
"Pevonedistat","1529","OVTOKO","1298365","OV","urogenital_system","ovary","2.9095396420374637",".8738063744960235","10",".040834507124730066",".9489499516854919","GDSC2"
"Pevonedistat","1529","TOV-112D","1299070","OV","urogenital_system","ovary","-.30256417544857228",".61060448250431398","10",".083526269920988536","-.54664695574917632","GDSC2"
"Pevonedistat","1529","DOV13","1479987","OV","urogenital_system","ovary","-2.3603634151137491",".34434286573947692","10",".099195857436747525","-1.5047847849845257","GDSC2"
"Pevonedistat","1529","Hey","1479988","OV","urogenital_system","ovary","-.28087707128880907",".59681491897071326","10",".12620020976266827","-.53654916073520909","GDSC2"
"Pevonedistat","1529","JHOS-2","1479995","OV","urogenital_system","ovary","-.49643178221409906",".57798904374325621","10",".14495624178230401","-.63691421036027129","GDSC2"
"Pevonedistat","1529","JHOS-3","1480358","OV","urogenital_system","ovary","3.4842840658961416",".90123418135037747","10",".036962150059433659","1.216558357805166","GDSC2"
"Pevonedistat","1529","JHOS-4","1480359","OV","urogenital_system","ovary","-.48434210350690393",".58217964967254254","10",".10906704166748442","-.63128510024623041","GDSC2"
"Pevonedistat","1529","OV-7","1480360","OV","urogenital_system","ovary","2.568982194532583",".88772133298909295","10",".058365949848756718",".79038201794704321","GDSC2"
"Pevonedistat","1529","OV-17R","1480361","OV","urogenital_system","ovary","3.0287469737892336",".90618810009714923","10",".050848445046475517","1.00445442066963","GDSC2"
"Pevonedistat","1529","OV-56","1480362","OV","urogenital_system","ovary","2.0484309638887441",".83496352994607326","10",".058346283144251568",".54800666056474068","GDSC2"
"Pevonedistat","1529","OVCA420","1480364","OV","urogenital_system","ovary","2.7777314855417501",".86839334617120068","10",".052172688604345686",".88757837640934156","GDSC2"
"Pevonedistat","1529","OVCA433","1480367","OV","urogenital_system","ovary","1.0949376761390928",".74148607966731195","10",".12247789645727945",".10404790535421039","GDSC2"
"Pevonedistat","1529","OVK-18","1480371","OV","urogenital_system","ovary",".37175835699286441",".67689299481341136","10",".093220746424485981","-.23267369976573682","GDSC2"
"Pevonedistat","1529","PEO1","1480372","OV","urogenital_system","ovary","1.0173349671908651",".7207627408281625","10",".082061639241585715",".067915084590540784","GDSC2"
"Pevonedistat","1529","UWB1.289","1480374","OV","urogenital_system","ovary","1.1382485307318209",".74988505096841684","10",".072184939215059987",".12421399707098858","GDSC2"
"Sapitinib","1549","OVCAR-3","905933","OV","urogenital_system","ovary","4.0430502346852881",".96132081909613309","10",".078614621696812742",".17128481109831831","GDSC2"
"Sapitinib","1549","SK-OV-3","905959","OV","urogenital_system","ovary","2.231405240295314",".8224942211704972","10",".085750803657884983","-.84217728505737732","GDSC2"
"Sapitinib","1549","IGROV-1","905968","OV","urogenital_system","ovary","-.12008526769800465",".64593996719793778","10",".12204441910119924","-2.1576372712582583","GDSC2"
"Sapitinib","1549","OVCAR-5","905969","OV","urogenital_system","ovary","3.499696808452462",".88195012134409678","10",".099697275565416923","-.1326754592684059","GDSC2"
"Sapitinib","1549","OVCAR-4","905990","OV","urogenital_system","ovary","3.8034108521920675",".94162636239537933","10",".10829487330765378",".037226851809879086","GDSC2"
"Sapitinib","1549","OVCAR-8","905991","OV","urogenital_system","ovary","3.5265134713885109",".96171901407679727","10",".061283519996848994","-.11767380523837875","GDSC2"
"Sapitinib","1549","Caov-3","906825","OV","urogenital_system","ovary","5.1528328243427124",".98313236640369972","10",".062873919925413024",".79211427441711346","GDSC2"
"Sapitinib","1549","OC-314","909257","OV","urogenital_system","ovary","2.8450543843646052",".92988166141801321","10",".11935271521391518","-.49889250808481989","GDSC2"
"Sapitinib","1549","SW626","909753","OV","urogenital_system","ovary","6.1037498289377403",".96409960859537824","10",".052721002486551163","1.3240718840653991","GDSC2"
"Sapitinib","1549","OAW-42","910548","OV","urogenital_system","ovary","4.3599783410879667",".95293568860716316","10",".075831834979105811",".34857927223178564","GDSC2"
"Sapitinib","1549","EFO-21","911905","OV","urogenital_system","ovary","4.8552113515939945",".90882724229507483","10",".078959810979851247",".62562024133287419","GDSC2"
"Sapitinib","1549","OAW-28","946360","OV","urogenital_system","ovary","5.0324063539889696",".97614027428803507","10",".056391419222085702",".72474585320033291","GDSC2"
"Sapitinib","1549","Caov-4","949090","OV","urogenital_system","ovary","4.5340892334038099",".95204236044080559","10",".098963186401300959",".44597958544788002","GDSC2"
"Sapitinib","1549","FU-OV-1","1240129","OV","urogenital_system","ovary","3.1168159544749385",".88725185890969283","10",".11116557016814858","-.34686490259287184","GDSC2"
"Sapitinib","1549","OV-90","1240197","OV","urogenital_system","ovary","6.6602968599146637",".97484592672199533","10",".043879748945672037","1.6354128600125257","GDSC2"
"Sapitinib","1549","OVISE","1240198","OV","urogenital_system","ovary","2.1712385765555124",".85235573496435002","10",".12827185902627269","-.87583544288700577","GDSC2"
"Sapitinib","1549","OVKATE","1240199","OV","urogenital_system","ovary","4.9431894477417684",".91431566031996048","10",".090960397283200795",".67483654254741399","GDSC2"
"Sapitinib","1549","OVMIU","1240200","OV","urogenital_system","ovary","-1.0783111207648615",".54084949009086603","10",".1403331147470904","-2.6936835632453473","GDSC2"
"Sapitinib","1549","TOV-21G","1240222","OV","urogenital_system","ovary","2.541005017913025",".86886035822713303","10",".098969879910124278","-.66898240384973984","GDSC2"
"Sapitinib","1549","OVTOKO","1298365","OV","urogenital_system","ovary","1.5493378214108053",".7951403494023499","10",".12005257613728083","-1.2237362981105719","GDSC2"
"Sapitinib","1549","TOV-112D","1299070","OV","urogenital_system","ovary","4.3697336561495081",".9773901265198206","10",".082382322281707596",".3540365456388519","GDSC2"
"Sapitinib","1549","DOV13","1479987","OV","urogenital_system","ovary","2.5110494588799188",".9080159860911774","10",".11003938667162991","-.68574000467286911","GDSC2"
